address,lat,lon
서울특별시 종로구 삼일대로30길 21,37.5742255,126.9886047
서울특별시 금천구 범안로11길 78,37.4699018,126.8905092
서울특별시 송파구 법원로4길 10,37.4825928,127.1228222
서울특별시 송파구 송파대로28길 24,37.4942941,127.1205659
서울특별시 영등포구 경인로 900,37.5176933,126.9126502
서울특별시 송파구 올림픽로34길 6,37.5160711,127.1104458
서울특별시 종로구 난계로29길 33-4,37.5738433,127.0213152
서울특별시 송파구 위례송파로3길 12,37.4862029,127.1428124
서울특별시 마포구 백범로 202,37.5428481,126.9524687
서울특별시 노원구 월계로 334,37.6289136,127.0576448
서울특별시 구로구 경인로67나길 45,37.5132962,126.8806925
서울특별시 관악구 청룡4길 32,37.4811566,126.9443553
서울특별시 성동구 아차산로7길 17-18,37.5470408,127.0544088
서울특별시 영등포구 국회대로54길 15-5,37.5242307,126.9085285
서울특별시 영등포구 영등포로57길 9,37.5173812,126.917796
서울특별시 강서구 공항대로 269-15,37.5596114,126.8372423
서울특별시 영등포구 신길로 287,37.5171891,126.9118761
서울특별시 종로구 종로 19,37.5708345,126.9798606
서울특별시 중구 마장로 116,37.5678079,127.0226947
서울특별시 광진구 광나루로 410,37.5465757,127.0750446
서울특별시 강서구 강서로 462,37.5666172,126.841407
